Name,India Risk Level,MstarId,,
DHFL Pramerica S/T FR Ann Dv,Moderate Low Risk,F00000NUJI,,
DHFL Pramerica S/T FR Bns,Moderate Low Risk,F00000NX9D,,
DHFL Pramerica S/T FR Dir Ann Div,Moderate Low Risk,F00000T4DD,,
DHFL Pramerica S/T FR Dir Qtr Div,Moderate Low Risk,F00000QHGF,,
DHFL Pramerica S/T FR Dr Pl Ann Bns,Moderate Low Risk,F00000U4NK,,
DHFL Pramerica S/T FR Dr Pl Gr,Moderate Low Risk,F00000PDWG,,
DHFL Pramerica S/T FR Dr Pl Mn Dv,Moderate Low Risk,F00000PPPW,,
DHFL Pramerica S/T FR Dr Pl Wk Dv,Moderate Low Risk,F00000PN35,,
DHFL Pramerica S/T FR Pl Ann Bns,Moderate Low Risk,F00000T6KA,,
DHFL Pramerica S/T FR Pl Dl Dv,Moderate Low Risk,F000005FQS,,
DHFL Pramerica S/T FR Pl Dr Pl Bns,Moderate Low Risk,F00000Q03F,,
DHFL Pramerica S/T FR Pl Dr Pl DlDv,Moderate Low Risk,F00000PFE7,,
DHFL Pramerica S/T FR Pl Dr PlQtBns,Moderate Low Risk,F00000PSMO,,
DHFL Pramerica S/T FR Pl Gr,Moderate Low Risk,F000005FQ0,,
DHFL Pramerica S/T FR Pl Instl Dl Dv,Moderate Low Risk,F00000MISS,,
DHFL Pramerica S/T FR Pl Instl Gr,Moderate Low Risk,F000005FQM,,
DHFL Pramerica S/T FR Pl Mn Dv,Moderate Low Risk,F00000MRYA,,
DHFL Pramerica S/T FR Pl Qt Dv,Moderate Low Risk,F00000NUJJ,,
DHFL Pramerica S/T FR Pl Wk Dv,Moderate Low Risk,F00000MISR,,
DHFL Pramerica S/T FR Qt Bns,Moderate Low Risk,F00000PSRW,,
DHFL Pramerica Short Maturity Dir Bns,Moderate Risk,F00000PZDE,,
DHFL Pramerica Short Maturity Dir Qt Div,Moderate Risk,F00000PFXL,,
DHFL Pramerica Sht Mty Ann Bns,Moderate Risk,F00000Q15N,,
DHFL Pramerica Sht Mty Ann Dv,Moderate Risk,F00000NHYO,,
DHFL Pramerica Sht Mty Bns,Moderate Risk,F00000NX9C,,
DHFL Pramerica Sht Mty Dr Pl Ann Bns,Moderate Risk,F00000Q3YR,,
DHFL Pramerica Sht Mty Dr Pl Gr,Moderate Risk,F00000PDWA,,
DHFL Pramerica Sht Mty Dr Pl HY Bns,Moderate Risk,F00000PSMM,,
DHFL Pramerica Sht Mty Dr Pl Mn Dv,Moderate Risk,F00000PSML,,
DHFL Pramerica Sht Mty Dr Pl Wk Dv,Moderate Risk,F00000PDWB,,
DHFL Pramerica Sht Mty Gr,Moderate Risk,F0GBR06SGI,,
DHFL Pramerica Sht Mty HY Bns,Moderate Risk,F00000PSRU,,
DHFL Pramerica Sht Mty Instl Pl Gr,Moderate Risk,F000002R41,,
DHFL Pramerica Sht Mty Mn Dv,Moderate Risk,F0GBR06SGJ,,
DHFL Pramerica Sht Mty Prm Pls Gr,Moderate Risk,F00000NMSU,,
DHFL Pramerica Sht Mty Prm Pls Pl Mn Dv,Moderate Risk,F00000NMSV,,
DHFL Pramerica Sht Mty Prm Pls Qt Dv,Moderate Risk,F00000NMSX,,
DHFL Pramerica Sht Mty Qt Dv,Moderate Risk,F00000NGS7,,
DHFL Pramerica Sht Mty Wk Dv,Moderate Risk,F0GBR06SGK,,
DHFL Pramerica ST Income Dir Fr Div,Moderate Risk,F00000PI9A,,
DHFL Pramerica ST Income Dir Qt Div,Moderate Risk,F00000PYLC,,
DHFL Pramerica Tax Plan Bns,Moderate High Risk,F00000V1E5,,
DHFL Pramerica Tax Plan Dr Bns,Moderate High Risk,F00000T789,,
DHFL Pramerica Tax Plan Dr Dv,Moderate High Risk,F00000PDWC,,
DHFL Pramerica Tax Plan Dr Gr,Moderate High Risk,F00000PDWD,,
DHFL Pramerica Tax Plan Dv,Moderate High Risk,F0GBR06SGL,,
DHFL Pramerica Tax Plan Gr,Moderate High Risk,F0GBR06SGO,,
DHFL Pramerica Tax Savings Dir Div,Moderate High Risk,F00000WNYF,,
DHFL Pramerica Tax Savings Dir Gr,Moderate High Risk,F00000WNYE,,
DHFL Pramerica Tax Savings Reg Div,Moderate High Risk,F00000WNYD,,
DHFL Pramerica Tax Savings Reg Gr,Moderate High Risk,F00000WNYC,,
DHFL Pramerica Top Euroland Offs Dir Bns,High Risk,F00000T942,,
DHFL Pramerica Top Euroland Offs Dir Div,High Risk,F00000SCG8,,
DHFL Pramerica Top Euroland Offs Dir Gr,High Risk,F00000PDW2,,
DHFL Pramerica Top Euroland Offshore Div,High Risk,F000000JSQ,,
DHFL Pramerica Top Euroland Offshore Gr,High Risk,F000000JSF,,
DHFL Pramerica Treasury Advantage Bns,Moderate Risk,F00000PW1U,,
DHFL Pramerica Treasury Advantage Dir Dl,Moderate Risk,F00000PHJJ,,
DHFL Pramerica Treasury Advantage Dir Mn,Moderate Risk,F00000PWY0,,
DHFL Pramerica Treasury Advantage Dir Wk,Moderate Risk,F00000PH21,,
DHFL Pramerica Treasury Advantage Dl Div,Moderate Risk,F00000MV49,,
DHFL Pramerica Treasury Cash Dir Ann Bns,Low Risk,F00000UPIG,,
DHFL Pramerica Treasury Cash Reg Ann Bns,Low Risk,F00000SGEF,,
DHFL Pramerica Ultra S/T Ann Bns,Moderate Low Risk,F00000Q24H,,
DHFL Pramerica Ultra S/T Ann Dv,Moderate Low Risk,F00000OVG6,,
DHFL Pramerica Ultra S/T Bns,Moderate Low Risk,F000002FQD,,
DHFL Pramerica Ultra S/T Dir Ann Div,Moderate Low Risk,F00000U223,,
DHFL Pramerica Ultra S/T Dir Div,Moderate Low Risk,F00000SZ55,,
DHFL Pramerica Ultra S/T Dl Dv,Moderate Low Risk,F000002FPN,,
DHFL Pramerica Ultra S/T Dr Pl Ann Bns,Moderate Low Risk,F00000SQNW,,
DHFL Pramerica Ultra S/T Dr Pl Bns,Moderate Low Risk,F00000Q2S7,,
DHFL Pramerica Ultra S/T Dr Pl Dl Dv,Moderate Low Risk,F00000PDWI,,
DHFL Pramerica Ultra S/T Dr Pl Gr,Moderate Low Risk,F00000PDWJ,,
DHFL Pramerica Ultra S/T Dr Pl Mn Bns,Moderate Low Risk,F00000PV94,,
DHFL Pramerica Ultra S/T Dr Pl Mn Dv,Moderate Low Risk,F00000PHNV,,
DHFL Pramerica Ultra S/T Dr Pl Qt Dv,Moderate Low Risk,F00000QT4I,,
DHFL Pramerica Ultra S/T Dr Pl Wk Dv,Moderate Low Risk,F00000PDWK,,
DHFL Pramerica Ultra S/T Dv,Moderate Low Risk,F000005LHA,,
DHFL Pramerica Ultra S/T Gr,Moderate Low Risk,F000002FPZ,,
DHFL Pramerica Ultra S/T Mn Bns,Moderate Low Risk,F00000PTTX,,
DHFL Pramerica Ultra S/T Mn Dv,Moderate Low Risk,F000002FQ3,,
DHFL Pramerica Ultra S/T Qt Dv,Moderate Low Risk,F00000OVG7,,
DHFL Pramerica Ultra S/T Reg Qt Div,Moderate Low Risk,F00000NHYN,,
DHFL Pramerica Ultra S/T Rg Pl Bns,Moderate Low Risk,F000002FQ2,,
DHFL Pramerica Ultra S/T Rg Pl Dl Dv,Moderate Low Risk,F000000IHK,,
DHFL Pramerica Ultra S/T Rg Pl Gr,Moderate Low Risk,F0GBR06SF8,,
DHFL Pramerica Ultra S/T Rg Pl Mn Dv,Moderate Low Risk,F0GBR06SF9,,
DHFL Pramerica Ultra S/T Rg Pl Wk Dv,Moderate Low Risk,F0GBR06SFA,,
DHFL Pramerica Ultra S/T Wk Dv,Moderate Low Risk,F000002FQJ,,
DSP BlackRock Balanced Dir Div,Moderate High Risk,F00000PDTY,,
DSP BlackRock Balanced Dir Gr,Moderate High Risk,F00000PDTZ,,
DSP BlackRock Balanced Dir Qt Div,Moderate High Risk,F00000UK0E,,
DSP BlackRock Balanced Reg Div,Moderate High Risk,F0GBR06SDI,,
DSP BlackRock Balanced Reg Gr,Moderate High Risk,F0GBR06SDJ,,
DSP BlackRock Balanced Reg Qt Div,Moderate High Risk,F00000UI4F,,
DSP BlackRock Bank & PSU Debt Dir Div,Moderate Risk,F00000QG2I,,
DSP BlackRock Bank & PSU Debt Dir Dl Div,Moderate Risk,F00000QG2E,,
DSP BlackRock Bank & PSU Debt Dir Gr,Moderate Risk,F00000QG2C,,
DSP BlackRock Bank & PSU Debt Dir Mn Div,Moderate Risk,F00000QG2G,,
DSP BlackRock Bank & PSU Debt Dir Qt Div,Moderate Risk,F00000QG2H,,
DSP BlackRock Bank & PSU Debt Dir Wk Div,Moderate Risk,F00000QG2F,,
DSP BlackRock Bank & PSU Debt Reg Div,Moderate Risk,F00000QG2B,,
DSP BlackRock Bank & PSU Debt Reg Dl Div,Moderate Risk,F00000QG27,,
DSP BlackRock Bank & PSU Debt Reg Gr,Moderate Risk,F00000QG26,,
DSP BlackRock Bank & PSU Debt Reg Mn Div,Moderate Risk,F00000QG29,,
DSP BlackRock Bank & PSU Debt Reg Qt Div,Moderate Risk,F00000QG2A,,
DSP BlackRock Bank & PSU Debt Reg Wk Div,Moderate Risk,F00000QG28,,
DSP BlackRock Bond Dir Div,Moderate Risk,F00000PDU0,,
DSP BlackRock Bond Dir Gr,Moderate Risk,F00000PDU1,,
DSP BlackRock Bond Dir Mn Div,Moderate Risk,F00000PDU2,,
DSP BlackRock Bond Reg Div,Moderate Risk,F0GBR06SDK,,
DSP BlackRock Bond Reg Gr,Moderate Risk,F0GBR06SDL,,
DSP BlackRock Bond Reg Mn Div,Moderate Risk,F0GBR06SDM,,
DSP BlackRock Dyn Asset Alloc Dir Div,Moderate Risk,F00000SKLB,,
DSP BlackRock Dyn Asset Alloc Dir Gr,Moderate Risk,F00000SKLC,,
DSP BlackRock Dyn Asset Alloc Reg Div,Moderate Risk,F00000SKLD,,
DSP BlackRock Dyn Asset Alloc Reg Gr,Moderate Risk,F00000SKLE,,
DSP BlackRock Equity Dir Div,Moderate High Risk,F00000PDU3,,
DSP BlackRock Equity Dir Gr,Moderate High Risk,F00000PDU4,,
DSP BlackRock Equity Instl Gr,Moderate High Risk,F000002FQ8,,
DSP BlackRock Equity Reg Div,Moderate High Risk,F0GBR06SDQ,,
DSP BlackRock Equity Reg Gr,Moderate High Risk,F000000I42,,
DSP BlackRock Equity Savings Dir Div,Moderate High Risk,F00000X1QA,,
DSP BlackRock Equity Savings Dir Gr,Moderate High Risk,F00000X1Q9,,
DSP BlackRock Equity Savings Dir Mn Div,Moderate High Risk,F00000X1QB,,
DSP BlackRock Equity Savings Dir Qt Div,Moderate High Risk,F00000X1QC,,
DSP BlackRock Equity Savings Reg Div,Moderate High Risk,F00000X1Q6,,
DSP BlackRock Equity Savings Reg Gr,Moderate High Risk,F00000X1Q5,,
DSP BlackRock Equity Savings Reg Mn Div,Moderate High Risk,F00000X1Q7,,
DSP BlackRock Equity Savings Reg Qt Div,Moderate High Risk,F00000X1Q8,,
DSP Blackrock Focus 25 Dir Div,Moderate High Risk,F00000PDU5,,
DSP Blackrock Focus 25 Dir Gr,Moderate High Risk,F00000PDU6,,
DSP Blackrock Focus 25 Reg Div,Moderate High Risk,F00000H63Z,,
DSP Blackrock Focus 25 Reg Gr,Moderate High Risk,F00000H63Y,,
DSP BlackRock Global Alloc Dir Div,High Risk,F00000U5P6,,
DSP BlackRock Global Alloc Dir Gr,High Risk,F00000U5P5,,
DSP BlackRock Global Alloc Reg Div,High Risk,F00000U5P4,,
DSP BlackRock Global Alloc Reg Gr,High Risk,F00000U5P7,,
DSP BlackRock Govt Sec Dir Div,Moderate Risk,F00000PDU7,,
DSP BlackRock Govt Sec Dir Gr,Moderate Risk,F00000PDU8,,
DSP BlackRock Govt Sec Dir Mn Div,Moderate Risk,F00000PDU9,,
DSP BlackRock Govt Sec Reg Div,Moderate Risk,F0GBR06SE9,,
DSP BlackRock Govt Sec Reg Gr,Moderate Risk,F0GBR06SEA,,
DSP BlackRock Govt Sec Reg Mn Div,Moderate Risk,F0GBR06SEB,,
DSP BlackRock Income Opp Dir Div,Moderate Risk,F00000PDUA,,
DSP BlackRock Income Opp Dir Dl Div,Moderate Risk,F00000PDUB,,
DSP BlackRock Income Opp Dir Gr,Moderate Risk,F00000PDUC,,
DSP BlackRock Income Opp Dir Mn Div,Moderate Risk,F00000PDUD,,
DSP BlackRock Income Opp Dir Qt Div,Moderate Risk,F00000PDUE,,
DSP BlackRock Income Opp Dir Wk Div,Moderate Risk,F00000PDUF,,
DSP BlackRock Income Opp Instl Dl Div,Moderate Risk,F00000J8LN,,
DSP BlackRock Income Opp Instl Gr,Moderate Risk,F0GBR06SE0,,
DSP BlackRock Income Opp Reg Div,Moderate Risk,F0GBR06SE3,,
DSP BlackRock Income Opp Reg Dl Div,Moderate Risk,F0GBR06SE2,,
DSP BlackRock Income Opp Reg Gr,Moderate Risk,F0GBR06SE4,,
DSP BlackRock Income Opp Reg Mn Div,Moderate Risk,F00000O25Y,,
DSP BlackRock Income Opp Reg Qt Div,Moderate Risk,F00000NYV5,,
DSP BlackRock Income Opp Reg Wk Div,Moderate Risk,F0GBR06SE6,,
DSP BlackRock India T.I.G.E.R. Dir Div,High Risk,F00000PDUG,,
DSP BlackRock India T.I.G.E.R. Dir Gr,High Risk,F00000PDUH,,
DSP BlackRock India T.I.G.E.R. Reg Div,High Risk,F0GBR06SEY,,
DSP BlackRock India T.I.G.E.R. Reg Gr,High Risk,F0GBR06SEZ,,
DSP BlackRock Liquidity Dir Dl Div,Low Risk,F00000PDUI,,
DSP BlackRock Liquidity Dir Gr,Low Risk,F00000PDUJ,,
DSP BlackRock Liquidity Dir Wk Div,Low Risk,F00000PDUK,,
DSP BlackRock Liquidity Instl Dl Div,Low Risk,F0GBR06SEC,,
DSP BlackRock Liquidity Instl Gr,Low Risk,F0GBR06SED,,
DSP BlackRock Liquidity Instl Wk Div,Low Risk,F0GBR06SEE,,
DSP BlackRock Liquidity Reg Dl Div,Low Risk,F0GBR06SEF,,
DSP BlackRock Liquidity Reg Gr,Low Risk,F0GBR06SEG,,
DSP BlackRock Liquidity Reg Wk Div,Low Risk,F0GBR06SEH,,
DSP BlackRock Micro Cap Dir Div,High Risk,F00000PDUL,,
DSP BlackRock Micro Cap Dir Gr,High Risk,F00000PDUM,,
DSP BlackRock Micro Cap Reg Div,High Risk,F00000JTL4,,
DSP BlackRock Micro Cap Reg Gr,High Risk,F000000I3Y,,
DSP BlackRock MIP Dir Gr,Moderate High Risk,F00000PDUN,,
DSP BlackRock MIP Dir Mn Div,Moderate High Risk,F00000PDUO,,
DSP BlackRock MIP Dir Qt Div,Moderate High Risk,F00000PDUP,,
DSP BlackRock MIP Reg Gr,Moderate High Risk,F0GBR06SEI,,
DSP BlackRock MIP Reg Mn Div,Moderate High Risk,F0GBR06SEL,,
DSP BlackRock MIP Reg Qt Div,Moderate High Risk,F0GBR06SEM,,
DSP BlackRock Money Mgr Dir Div,Moderate Low Risk,F00000PDUQ,,
DSP BlackRock Money Mgr Dir Dl Div,Moderate Low Risk,F00000PDUR,,
DSP BlackRock Money Mgr Dir Gr,Moderate Low Risk,F00000PDUS,,
DSP BlackRock Money Mgr Dir Mn Div,Moderate Low Risk,F00000PDUT,,
DSP BlackRock Money Mgr Dir Wk Div,Moderate Low Risk,F00000PDUU,,
DSP BlackRock Money Mgr Instl Dl Div,Moderate Low Risk,F000000I8L,,
DSP BlackRock Money Mgr Instl Gr,Moderate Low Risk,F000000I8H,,
DSP BlackRock Money Mgr Reg Div,Moderate Low Risk,F00000OYGF,,
DSP BlackRock Money Mgr Reg Dl Div,Moderate Low Risk,F000000I65,,
DSP BlackRock Money Mgr Reg Gr,Moderate Low Risk,F000000I8N,,
DSP BlackRock Money Mgr Reg Mn Div,Moderate Low Risk,F00000NYVA,,
DSP BlackRock Money Mgr Reg Wk Div,Moderate Low Risk,F000000I8F,,
DSP BlackRock Nat Res & New Engy Dir Div,High Risk,F00000PDUV,,
DSP BlackRock Nat Res & New Engy Reg Div,High Risk,F0000020ZV,,
DSP BlackRock Nat Res & New Engy Reg Gr,High Risk,F0000020ZE,,
DSP BlackRock Nat Res & New Enrgy Dir Gr,High Risk,F00000PDUW,,
DSP BlackRock Opportunities Dir Div,Moderate High Risk,F00000PDUX,,
DSP BlackRock Opportunities Dir Gr,Moderate High Risk,F00000PDUY,,
DSP BlackRock Opportunities Reg Div,Moderate High Risk,F0GBR06SEK,,
DSP BlackRock Opportunities Reg Gr,Moderate High Risk,F0GBR06SEJ,,
DSP BlackRock S/T Dir Div,Moderate Risk,F00000PDUZ,,
DSP BlackRock S/T Dir Gr,Moderate Risk,F00000PDV0,,
DSP BlackRock S/T Dir Mn Div,Moderate Risk,F00000PDV1,,
DSP BlackRock S/T Dir Wk Div,Moderate Risk,F00000PDV2,,
DSP BlackRock S/T Reg Div,Moderate Risk,F0GBR06SEU,,
DSP BlackRock S/T Reg Gr,Moderate Risk,F0GBR06SET,,
DSP BlackRock S/T Reg Mn Div,Moderate Risk,F0GBR06SEV,,
DSP BlackRock S/T Reg Wk Div,Moderate Risk,F0GBR06SEX,,
DSP BlackRock Small and Midcap Dir Div,Moderate High Risk,F00000PDV3,,
DSP BlackRock Small and Midcap Dir Gr,Moderate High Risk,F00000PDV4,,
DSP BlackRock Small and Midcap Reg Div,Moderate High Risk,F000000C5V,,
DSP BlackRock Small and Midcap Reg Gr,Moderate High Risk,F000000CBK,,
DSP BlackRock Strategic Bd Dir Div,Moderate Risk,F00000PDV5,,
DSP BlackRock Strategic Bd Dir Dl Div,Moderate Risk,F00000PDV6,,
DSP BlackRock Strategic Bd Dir Gr,Moderate Risk,F00000PDV7,,
DSP BlackRock Strategic Bd Dir Mn Div,Moderate Risk,F00000PDV8,,
DSP BlackRock Strategic Bd Dir Wk Div,Moderate Risk,F00000PDVA,,
DSP BlackRock Strategic Bd Instl Div,Moderate Risk,F000000IES,,
DSP BlackRock Strategic Bd Instl Dl Div,Moderate Risk,F000002R37,,
DSP BlackRock Strategic Bd Instl Gr,Moderate Risk,F000000IEW,,
DSP BlackRock Strategic Bd Instl Mn Div,Moderate Risk,F000000IEX,,
DSP BlackRock Strategic Bd Instl Wk Div,Moderate Risk,F000000IEY,,
DSP BlackRock Strategic Bd Reg Div,Moderate Risk,F000000IEZ,,
DSP BlackRock Strategic Bd Reg Dl Div,Moderate Risk,F000002QZ0,,
DSP BlackRock Strategic Bd Reg Gr,Moderate Risk,F000000IF0,,
DSP BlackRock Strategic Bd Reg Mn Div,Moderate Risk,F000000IF1,,
DSP BlackRock Strategic Bd Reg Wk Div,Moderate Risk,F000000IF2,,
DSP BlackRock Tax Saver Dir Div,Moderate High Risk,F00000PDVB,,
DSP BlackRock Tax Saver Dir Gr,Moderate High Risk,F00000PDVC,,
DSP BlackRock Tax Saver Reg Div,Moderate High Risk,F000000C41,,
DSP BlackRock Tax Saver Reg Gr,Moderate High Risk,F000000CBS,,
DSP BlackRock Technology.com Dir Div,High Risk,F00000PDVD,,
DSP BlackRock Technology.com Dir Gr,High Risk,F00000PDVE,,
DSP BlackRock Technology.com Gr,High Risk,F0GBR06SEW,,
DSP BlackRock Technology.com Reg Div,High Risk,F000000I4C,,
DSP BlackRock Top 100 Equity Dir Div,Moderate High Risk,F00000PDVF,,
DSP BlackRock Top 100 Equity Dir Gr,Moderate High Risk,F00000PDVG,,
DSP BlackRock Top 100 Equity Instl Div,Moderate High Risk,F000001A4T,,
DSP BlackRock Top 100 Equity Instl Gr,Moderate High Risk,F000000I4F,,
DSP BlackRock Top 100 Equity Reg Div,Moderate High Risk,F0GBR06SF0,,
DSP BlackRock Top 100 Equity Reg Gr,Moderate High Risk,F0GBR06SF1,,
DSP BlackRock Trs Bill Dir Div,Moderate Low Risk,F00000PDVH,,
DSP BlackRock Trs Bill Dir Dl Div,Moderate Low Risk,F00000Q8RB,,
DSP BlackRock Trs Bill Dir Gr,Moderate Low Risk,F00000PDVI,,
DSP BlackRock Trs Bill Dir Mn Div,Moderate Low Risk,F00000PDVJ,,
DSP BlackRock Trs Bill Reg Div,Moderate Low Risk,F0GBR06SE5,,
DSP BlackRock Trs Bill Reg Dl Div,Moderate Low Risk,F00000Q8RC,,
DSP BlackRock Trs Bill Reg Gr,Moderate Low Risk,F0GBR06SE7,,
DSP BlackRock Trs Bill Reg Mn Div,Moderate Low Risk,F0GBR06SE8,,
DSP Blackrock U/ST Dir Dl Div,Moderate Low Risk,F00000VGX7,,
DSP Blackrock U/ST Dir Gr,Moderate Low Risk,F00000VGX8,,
DSP Blackrock U/ST Dir Mn Div,Moderate Low Risk,F00000VGX9,,
DSP Blackrock U/ST Dir Qt Div,Moderate Low Risk,F00000VGXA,,
DSP Blackrock U/ST Dir Wk Div,Moderate Low Risk,F00000VGXB,,
DSP Blackrock U/ST Reg Dl Div,Moderate Low Risk,F00000VGXC,,
DSP Blackrock U/ST Reg Gr,Moderate Low Risk,F00000VGXD,,
DSP Blackrock U/ST Reg Mn Div,Moderate Low Risk,F00000VGXE,,
DSP Blackrock U/ST Reg Qt Div,Moderate Low Risk,F00000VGXF,,
DSP Blackrock U/ST Reg Wk Div,Moderate Low Risk,F00000VGXG,,
DSP BlackRock US Flexible Equity Dir Div,High Risk,F00000PDVK,,
DSP BlackRock US Flexible Equity Dir Gr,High Risk,F00000PDVL,,
DSP BlackRock US Flexible Equity Reg Div,High Risk,F00000ONZY,,
DSP BlackRock US Flexible Equity Reg Gr,High Risk,F00000ONZZ,,
DSP Blackrock World Agri Dir Div,High Risk,F00000PDVM,,
DSP Blackrock World Agri Dir Gr,High Risk,F00000PDVN,,
DSP Blackrock World Agri Reg Div,High Risk,F00000N3GH,,
DSP Blackrock World Agri Reg Gr,High Risk,F00000N3GG,,
DSP BlackRock World Energy Dir Div,High Risk,F00000PDVO,,
DSP BlackRock World Energy Dir Gr,High Risk,F00000PDVQ,,
DSP BlackRock World Energy Reg Div,High Risk,F000003XLT,,
DSP BlackRock World Energy Reg Gr,High Risk,F000003XLQ,,
DSP BlackRock World Gold Dir Div,High Risk,F00000PDVR,,
DSP BlackRock World Gold Dir Gr,High Risk,F00000PDVS,,
DSP BlackRock World Gold Div,High Risk,F000000JSE,,
DSP BlackRock World Gold Gr,High Risk,F000000JSP,,
DSP BlackRock World Mining Dir Div,High Risk,F00000PDVT,,
DSP BlackRock World Mining Dir Gr,High Risk,F00000PDVU,,
DSP BlackRock World Mining Div,High Risk,F000005IAQ,,
DSP BlackRock World Mining Gr,High Risk,F000005IAR,,
DSP BR Constant Mat 10Y G-Sec Dir Div,Moderate Risk,F00000UI1I,,
DSP BR Constant Mat 10Y G-Sec Dir Gr,Moderate Risk,F00000UI1G,,
DSP BR Constant Mat 10Y G-Sec Dir Mn Div,Moderate Risk,F00000UI1H,,
DSP BR Constant Mat 10Y G-Sec Dir Qt Div,Moderate Risk,F00000UPUQ,,
DSP BR Constant Mat 10Y G-Sec Reg Div,Moderate Risk,F00000UI1F,,
DSP BR Constant Mat 10Y G-Sec Reg Gr,Moderate Risk,F00000UI1C,,
DSP BR Constant Mat 10Y G-Sec Reg Mn Div,Moderate Risk,F00000UI1D,,
DSP BR Constant Mat 10Y G-Sec Reg Qt Div,Moderate Risk,F00000UI1E,,
Edelweiss (E.D.G.E Top 100) A Div,Moderate High Risk,F000002XYT,,
Edelweiss (E.D.G.E Top 100) A Gr,Moderate High Risk,F000002XYS,,
Edelweiss (E.D.G.E Top 100) B Div,Moderate High Risk,F000002XYU,,
Edelweiss (E.D.G.E Top 100) B Gr,Moderate High Risk,F000002XYV,,
Edelweiss (E.D.G.E Top 100) C Div,Moderate High Risk,F000002XYW,,
Edelweiss (E.D.G.E Top 100) C Gr,Moderate High Risk,F000002XYX,,
Edelweiss (E.D.G.E Top 100) Dir Div,Moderate High Risk,F00000PDWL,,
Edelweiss (E.D.G.E Top 100) Dir Gr,Moderate High Risk,F00000PDWM,,
Edelweiss Absolute Return Dir Div,Moderate High Risk,F00000PH1T,,
Edelweiss Absolute Return Dir Gr,Moderate High Risk,F00000PFXJ,,
Edelweiss Absolute Return Div,Moderate High Risk,F0000043KQ,,
Edelweiss Absolute Return Gr,Moderate High Risk,F00000418C,,
Edelweiss Arbitrage Fund Dir Div,Moderate Low Risk,F00000TUZB,,
Edelweiss Arbitrage Fund Dir Gr,Moderate Low Risk,F00000TUZA,,
Edelweiss Arbitrage Fund Reg Bn,Moderate Low Risk,F00000TUZ9,,
Edelweiss Arbitrage Fund Reg Div,Moderate Low Risk,F00000TUZ8,,
Edelweiss Arbitrage Fund Reg Gr,Moderate Low Risk,F00000TUZ7,,
Edelweiss Bond Dir Bns,Moderate Low Risk,F00000T799,,
Edelweiss Bond Dir Dl Div,Moderate Low Risk,F00000PG79,,
Edelweiss Bond Dir Gr,Moderate Low Risk,F00000PDWR,,
Edelweiss Bond Dir Mn Div,Moderate Low Risk,F00000VHW3,,
Edelweiss Bond Dir Wk Div,Moderate Low Risk,F00000QM99,,
Edelweiss Bond Dl Div,Moderate Low Risk,F000002C9K,,
Edelweiss Bond Fr Div,Moderate Low Risk,F00000P317,,
Edelweiss Bond Gr,Moderate Low Risk,F000002EPB,,
Edelweiss Bond Mn Div,Moderate Low Risk,F00000O7T8,,
Edelweiss Bond Retl Dl Div,Moderate Low Risk,F000002EO5,,
Edelweiss Bond Retl Fr Div,Moderate Low Risk,F000002C97,,
Edelweiss Bond Retl Gr,Moderate Low Risk,F000002EEG,,
Edelweiss Bond Retl Mn Div,Moderate Low Risk,F000002C9C,,
Edelweiss Bond Retl Wk Div,Moderate Low Risk,F000002EFF,,
Edelweiss Bond Wk Div,Moderate Low Risk,F000002ER7,,
Edelweiss ELSS Dir Div,Moderate High Risk,F00000PG74,,
Edelweiss ELSS Dir Gr,Moderate High Risk,F00000PG77,,
Edelweiss ELSS Div,Moderate High Risk,F000002SS1,,
Edelweiss ELSS Gr,Moderate High Risk,F000002SS3,,
Edelweiss Emerging Leaders Dir Div,Moderate High Risk,F00000PFLG,,
Edelweiss Emerging Leaders Dir Gr,Moderate High Risk,F00000PDWQ,,
Edelweiss Emerging Leaders Div,Moderate High Risk,F00000MRO4,,
Edelweiss Emerging Leaders Gr,Moderate High Risk,F00000MRO3,,
Edelweiss Equity Savings Advntge Dir Div,Moderate High Risk,F00000Q47F,,
Edelweiss Equity Savings Advntge Dir Gr,Moderate High Risk,F00000PYJW,,
Edelweiss Equity Savings Advntge Div,Moderate High Risk,F00000GUQS,,
Edelweiss Equity Savings Advntge Gr,Moderate High Risk,F00000GUQR,,
Edelweiss Liquid Dir Bns,Low Risk,F00000T78C,,
Edelweiss Liquid Dir Dl Div,Low Risk,F00000PX38,,
Edelweiss Liquid Dir Gr,Low Risk,F00000PFLV,,
Edelweiss Liquid Dir Mon Div,Low Risk,F00000TXBW,,
Edelweiss Liquid Dir Wk Div,Low Risk,F00000PUHL,,
Edelweiss Liquid Dl Div,Low Risk,F000002EFB,,
Edelweiss Liquid Gr,Low Risk,F000002EFH,,
Edelweiss Liquid Mn Div,Low Risk,F000002EF3,,
Edelweiss Liquid Retl Dl Div,Low Risk,F000002EDS,,
Edelweiss Liquid Retl Gr,Low Risk,F000002EN3,,
Edelweiss Liquid Retl Mn Div,Low Risk,F000002EI3,,
Edelweiss Liquid Retl Wk Div,Low Risk,F000002EED,,
Edelweiss Liquid Wk Div,Low Risk,F000002C9I,,
Edelweiss Prudent Advantage A Div,Moderate High Risk,F00000NS2O,,
Edelweiss Prudent Advantage A Gr,Moderate High Risk,F000003ZCF,,
Edelweiss Prudent Advantage B Div,Moderate High Risk,F000002YI0,,
Edelweiss Prudent Advantage B Gr,Moderate High Risk,F000002YH1,,
